id,txn_date,customer_id,direction,amount,currency,base_amount,country_iso2,payer_sort_code,payee_sort_code,channel,narrative
TX00001,2025-08-24,CUST004,in,3720.67,GBP,3720.67,TR,27-94-13,96-94-69,bank_transfer,salary
TX00002,2025-05-05,CUST002,in,513.79,GBP,513.79,GB,81-25-91,93-89-69,cash,consultancy
TX00003,2025-05-18,CUST019,out,4056.68,GBP,4056.68,RU,99-54-43,45-19-27,cash,
TX00004,2024-11-17,CUST013,in,1826.95,USD,1940.65,GB,68-68-15,58-10-70,cash,loan repayment
TX00005,2025-08-18,CUST020,out,2907.89,EUR,2156.88,TR,47-10-29,22-48-35,cash,invoice
TX00006,2025-04-05,CUST006,out,1808.59,EUR,1555.73,AE,87-81-21,78-93-31,bank_transfer,crypto
TX00007,2025-04-13,CUST009,in,3438.84,GBP,3438.84,TR,14-40-51,44-08-27,card,invoice
TX00008,2025-03-11,CUST007,out,2008.38,EUR,1958.8,US,27-31-95,81-68-33,card,salary
TX00009,2025-05-08,CUST019,out,1841.88,GBP,1841.88,NG,21-96-06,24-19-80,bank_transfer,loan repayment
TX00010,2025-09-14,CUST014,in,1954.6,EUR,2536.43,US,80-01-87,24-87-68,cash,loan repayment
TX00011,2025-08-25,CUST011,in,1502.83,GBP,1502.83,NG,10-92-92,43-64-97,bank_transfer,salary
TX00012,2024-11-24,CUST010,in,806.55,GBP,806.55,GB,86-41-62,12-14-46,cash,consultancy
TX00013,2024-10-30,CUST008,in,473.98,USD,563.85,RU,26-84-60,80-21-33,card,loan repayment
TX00014,2025-08-07,CUST014,in,4648.12,EUR,5177.64,US,61-85-83,57-56-66,cash,
TX00015,2025-02-04,CUST008,in,1723.52,EUR,1779.28,TR,10-09-90,90-07-29,bank_transfer,
TX00016,2025-03-19,CUST003,in,1428.46,USD,1183.54,RU,83-73-60,41-60-52,bank_transfer,
TX00017,2024-11-19,CUST014,out,2146.71,USD,2615.34,GB,96-83-82,22-07-51,card,gift
TX00018,2024-11-25,CUST008,in,991.53,USD,777.47,RU,45-59-31,19-56-70,bank_transfer,
TX00019,2025-08-30,CUST018,in,4846.53,GBP,4846.53,RU,62-62-61,37-51-07,bank_transfer,crypto
TX00020,2024-10-02,CUST013,out,4636.26,USD,4038.88,NG,29-24-37,37-07-74,card,salary
TX00021,2024-11-01,CUST011,in,298.2,USD,298.71,RU,17-65-10,33-08-76,bank_transfer,invoice
TX00022,2025-01-29,CUST013,in,4710.9,EUR,3993.57,GB,89-10-53,94-74-72,card,gift
TX00023,2025-02-11,CUST007,out,1231.5,USD,958.76,US,68-40-96,19-01-58,card,salary
TX00024,2024-11-21,CUST003,in,2554.13,GBP,2554.13,DE,18-31-47,46-20-56,card,invoice
TX00025,2025-03-04,CUST020,in,3355.92,EUR,2951.96,AE,27-33-14,23-95-70,bank_transfer,gift
TX00026,2025-02-22,CUST020,in,3602.18,GBP,3602.18,US,74-62-32,16-11-81,cash,loan repayment
TX00027,2025-02-19,CUST002,in,1701.1,GBP,1701.1,US,30-94-56,80-90-54,card,
TX00028,2024-11-27,CUST003,in,2750.67,USD,2886.84,RU,65-16-05,49-46-05,cash,consultancy
TX00029,2025-09-15,CUST008,in,1800.71,EUR,2215.74,FR,89-95-19,40-20-22,cash,
TX00030,2024-12-31,CUST011,out,4021.06,EUR,4770.78,US,30-89-13,58-04-60,bank_transfer,consultancy
TX00031,2025-05-24,CUST012,out,4111.66,GBP,4111.66,TR,13-84-24,61-42-35,bank_transfer,loan repayment
TX00032,2025-02-20,CUST012,out,3413.61,EUR,3067.78,GB,24-33-22,84-33-04,bank_transfer,salary
TX00033,2025-05-11,CUST012,out,2210.15,EUR,1700.46,TR,42-05-90,65-00-66,card,invoice
