id,txn_date,customer_id,direction,amount,currency,base_amount,country_iso2,payer_sort_code,payee_sort_code,channel,narrative
TX05001,24/08/2025,CUST021,in,3720.67,GB,3720.67,GB,27-94-13,96-94-69,bank_transfer,Standard
TX05002,05/05/2025,CUST021,in,513.79,GBP,"15,000",GB,81-25-91,93-89-69,cash,Standard
TX05003,18/05/2025,CUST021,out,4056.68,GBP,4056.68,RU,99-54-43,45-19-27,cash,Standard
TX05004,17/11/2024,CUST021,in,1826.95,USD,1940.65,GB,68-68-15,58-10-70,card,Standard
TX05005,18/08/2025,CUST021,out,2907.89,GBP,2156.88,GB,47-10-29,22-48-35,card,Standard
TX05006,05/04/2025,CUST021,out,1808.59,GB,1555.73,GB,87-81-21,78-93-31,bank_transfer,Standard
TX05007,13/04/2025,CUST021,in,3438.84,GBP,3438.84,GB,14-40-51,44-08-27,card,Standard
TX05008,11/03/2025,CUST021,out,2008.38,EUR,1958.8,RU,27-31-95,81-68-33,card,Standard
TX05009,08/05/2025,CUST021,out,1841.88,GB,1841.88,GB,21-96-06,24-19-80,bank_transfer,Standard
TX05010,14/09/2025,CUST021,in,1954.6,GBP,2536.43,GB,80-01-87,24-87-68,card,Standard
TX05011,25/08/2025,CUST021,in,1502.83,GB,1502.83,GB,10-92-92,43-64-97,bank_transfer,Standard
TX05012,24/11/2024,CUST021,in,806.55,GBP,806.55,GB,86-41-62,12-14-46,card,Standard
TX05013,30/10/2024,CUST021,in,473.98,GBP,563.85,GB,26-84-60,80-21-33,card,Standard
TX05014,07/08/2025,CUST021,in,4648.12,GBP,5177.64,GB,61-85-83,57-56-66,card,Standard
TX05015,04/02/2025,CUST021,in,1723.52,GB,1779.28,GB,10/09/1990,90-07-29,bank_transfer,Standard
TX05016,19/03/2025,CUST021,in,1428.46,USD,1183.54,RU,83-73-60,41-60-52,bank_transfer,Standard
TX05017,19/11/2024,CUST021,out,2146.71,GBP,2615.34,GB,96-83-82,22/07/1951,card,Standard
TX05018,25/11/2024,CUST021,in,991.53,USD,777.47,RU,45-59-31,19-56-70,bank_transfer,Standard
TX05019,30/08/2025,CUST021,in,4846.53,GBP,4846.53,RU,62-62-61,37-51-07,bank_transfer,Standard
TX05020,02/10/2024,CUST021,out,4636.26,GBP,4038.88,GB,29-24-37,37-07-74,card,Standard
TX05021,01/11/2024,CUST021,in,298.2,USD,298.71,RU,17-65-10,33-08-76,bank_transfer,Standard
TX05022,29/01/2025,CUST021,in,4710.9,EUR,3993.57,RU,89-10-53,94-74-72,card,Standard
TX05023,11/02/2025,CUST021,out,1231.5,GBP,958.76,GB,68-40-96,19/01/1958,card,Standard
TX05024,21/11/2024,CUST021,in,2554.13,GBP,2554.13,GB,18-31-47,46-20-56,card,Standard
TX05025,04/03/2025,CUST021,in,3355.92,GB,2951.96,GB,27-33-14,23-95-70,bank_transfer,Standard
TX05026,22/02/2025,CUST021,in,3602.18,GBP,3602.18,GB,74-62-32,16/11/1981,card,Standard
TX05027,19/02/2025,CUST021,in,1701.1,GBP,1701.1,GB,30-94-56,80-90-54,card,Standard
TX05028,27/11/2024,CUST021,in,2750.67,USD,2886.84,RU,65-16-05,49-46-05,card,Standard
TX05029,15/09/2025,CUST021,in,1800.71,GBP,2215.74,GB,89-95-19,40-20-22,card,Standard
TX05030,31/12/2024,CUST022,out,4021.06,GBP,4770.78,GB,30-89-13,58-04-60,bank_transfer,Crypto
TX05031,24/05/2025,CUST022,out,4111.66,GBP,4111.66,GB,13-84-24,61-42-35,bank_transfer,Crypto
TX05032,20/02/2025,CUST022,out,3413.61,GBP,3067.78,GB,24-33-22,84-33-04,bank_transfer,Standard
TX05033,11/05/2025,CUST022,out,2210.15,GBP,1700.46,GB,42-05-90,65-00-66,card,Standard
TX05034,09/09/2025,CUST022,out,2184.92,GBP,2736.53,GB,94-15-92,48-64-39,card,Standard
TX05035,17/03/2025,CUST022,out,2794.34,GBP,2794.34,GB,95-48-86,32-78-72,card,Standard
TX05036,08/07/2025,CUST022,out,1470.22,GBP,1722.3,GB,69-56-56,96-27-65,card,Standard
TX05037,26/12/2024,CUST022,out,2601.49,GBP,2787.64,GB,40-86-39,38-25-18,card,Standard
TX05038,03/02/2025,CUST022,in,2304.31,GBP,2408.93,GB,73-51-31,28-83-88,card,Standard
TX05039,24/11/2024,CUST022,in,920.64,GBP,930.56,GB,81-31-15,68-17-59,card,Standard
TX05040,14/07/2025,CUST022,out,4752.7,GBP,5073.94,GB,80-57-20,70-57-33,card,Standard
TX05041,23/08/2025,CUST022,out,3152.4,GBP,3038.67,GB,40-34-42,50-69-10,card,Standard
TX05042,27/01/2025,CUST022,in,3546.77,GBP,3546.77,GB,62-42-69,69-53-07,card,Standard
TX05043,04/05/2025,CUST022,in,4290.82,GBP,3982.86,GB,55-38-96,59-53-68,card,Standard
TX05044,07/07/2025,CUST022,in,2466.74,GBP,2371.77,GB,59-43-85,96-51-92,card,Standard
TX05045,28/05/2025,CUST022,in,4539.3,GBP,4714.68,GB,20-82-54,27-59-23,card,Standard
TX05046,13/04/2025,CUST022,in,2300.76,GBP,2661.38,GB,45-96-53,42-10-60,card,Standard
TX05047,04/07/2025,CUST022,out,1159.9,GBP,1159.9,GB,13-31-25,12-79-19,card,Standard
TX05048,31/05/2025,CUST022,in,2351.92,GBP,2728.55,GB,87-77-95,24-99-20,card,Standard
TX05049,24/07/2025,CUST022,out,2900.19,GBP,2720.36,GB,19-75-88,90-31-13,card,Standard
TX05050,04/03/2025,CUST022,in,3991.32,GBP,4668.17,GB,78-54-84,57-08-64,card,Standard
TX05051,07/10/2024,CUST022,out,572.42,GBP,618.99,GB,29-55-22,76-83-34,card,Standard
TX05052,03/07/2025,CUST022,out,2206.09,GBP,2328.49,GB,41-11-35,67-31-96,card,Standard
TX05053,09/08/2025,CUST022,out,192.06,GBP,155.4,GB,55-33-43,45-76-89,card,Standard
TX05054,06/10/2024,CUST022,in,473.78,GBP,447.18,GB,98-60-82,72-57-02,card,Standard
TX05055,22/01/2025,CUST022,in,1565.72,GBP,1442.67,GB,64-95-70,52-45-89,card,Standard
TX05056,06/03/2025,CUST022,in,647.25,GBP,647.25,GB,25-95-68,98-23-24,card,Standard
TX05057,05/06/2025,CUST022,out,4903.53,GBP,4903.53,GB,39-46-22,48-01-90,card,Standard
TX05058,18/02/2025,CUST022,in,2789.13,GBP,3532.3,GB,23/01/1973,46-60-61,card,Standard
TX05059,03/01/2025,CUST022,out,4708.26,GBP,3618.07,GB,61-62-09,83-80-87,card,Standard
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
